,,0,,1,,2,,3,,4,,5
,"t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C"
,256.5,51.407,256.5,38.35,256.5,46.062,256.5,36.904,256.5,28.2,256.5,25.6
,259.5,51.377,259.5,38.147,259.5,45.782,259.5,36.726,259.5,27.8,259.5,25.325
,262.5,51.317,262.5,37.944,262.5,45.503,262.5,36.574,262.5,27.425,262.5,25.175
,265.5,51.258,265.5,37.767,265.5,45.224,265.5,36.421,265.5,30.575,265.5,26.5
,268.5,51.168,268.5,37.589,268.5,44.921,268.5,36.269,268.5,32.625,268.5,34.1
,271.5,51.078,271.5,37.411,271.5,44.658,271.5,36.091,271.5,33.425,271.5,36.269
,274.5,51.018,274.5,37.259,274.5,44.395,274.5,35.965,274.5,33.725,274.5,36.599
,277.5,50.928,277.5,37.107,277.5,44.132,277.5,35.812,277.5,33.6,277.5,36.193
,280.5,50.838,280.5,36.954,280.5,43.895,280.5,35.711,280.5,33.225,280.5,35.381
,283.5,50.749,283.5,36.802,283.5,43.658,283.5,35.558,283.5,32.725,283.5,34.35
,286.5,50.629,286.5,36.675,286.5,43.421,286.5,35.432,286.5,32.175,286.5,33.25
,289.5,50.509,289.5,36.548,289.5,43.184,289.5,35.305,289.5,31.675,289.5,32.15
,292.5,50.389,292.5,36.396,292.5,42.947,292.5,35.152,292.5,31.125,292.5,31.1
,295.5,50.27,295.5,36.244,295.5,42.737,295.5,35,295.5,30.575,295.5,30.2
,298.5,50.12,298.5,36.091,298.5,42.5,298.5,34.9,298.5,30.025,298.5,29.4
,301.5,49.972,301.5,35.965,301.5,42.29,301.5,34.775,301.5,29.525,301.5,28.725
,304.5,49.832,304.5,35.863,304.5,42.079,304.5,34.65,304.5,29.075,304.5,28.175
,307.5,49.665,307.5,35.736,307.5,41.868,307.5,34.525,307.5,28.65,307.5,27.7
,310.5,49.497,310.5,35.609,310.5,41.658,310.5,34.4,310.5,28.3,310.5,27.325
,313.5,49.33,313.5,35.254,313.5,41.447,313.5,34.325,313.5,28,313.5,27.075
,316.5,49.134,316.5,34.3,316.5,41.237,316.5,34.2,316.5,27.75,316.5,26.85
,319.5,48.967,319.5,32.975,319.5,41.026,319.5,34.125,319.5,27.55,319.5,26.575
,322.5,48.743,322.5,31.55,322.5,40.842,322.5,34.025,322.5,27.35,322.5,26.225
,325.5,48.575,325.5,30.175,325.5,40.658,325.5,33.975,325.5,27.15,325.5,25.775
